DATE,ACTUAL,DESV,CONS,
06/11/2014 (Jun 6),-2.596,-0.36,-1.3,
06/04/2014 (May 30),-3.431,-0.89,-0.2,
05/29/2014 (May 23),1.657,0.5,-0.1,
05/21/2014 (May 16),-7.226,-2.09,-0.1,
05/14/2014 (May 9),0.947,0.41,-0.4,
05/07/2014 (May 2),-1.781,,,
04/30/2014 (Apr 25),1.698,0.1,1.3,
04/23/2014 (Apr 18),3.524,0.23,2.6,
04/16/2014 (Apr 11),10.013,3,1.3,
04/09/2014 (Apr 4),4.03,1.04,1,
04/02/2014 (Mar 28),-2.379,-1.83,1.3,
03/26/2014 (Mar 21),6.619,1.72,2.9,
03/19/2014 (Mar 14),5.9,1.75,2.608,
03/12/2014 (Mar 7),6.18,4.11,2.1,
03/05/2014 (Feb 28),1.429,0.24,0.9,
02/26/2014 (Feb 21),0.068,-0.5,1.1,
02/20/2014 (Feb 14),0.973,-0.31,2.1,
02/12/2014 (Feb 7),3.267,0.21,2.5,
02/05/2014 (Jan 31),0.44,-0.45,2.2,
01/29/2014 (Jan 24),6.421,1.47,2.2,
01/23/2014 (Jan 17),0.99,0.11,0.7,
01/15/2014 (Jan 10),-7.658,-2.2,-0.7,
01/08/2014 (Jan 3),-2.675,-0.39,-1.6,
01/03/2014 (Dec 27),-7.007,-1.13,-2.3,
12/27/2013 (Dec 20),-4.731,,,
12/18/2013 (Dec 13),-2.941,-0.13,-2.4,
12/11/2013 (Dec 6),-10.585,-3.13,-2.2,
12/04/2013 (Nov 29),-5.585,-5.08,-0.5,
11/27/2013 (Nov 22),2.953,2.4,0.5,
11/20/2013 (Nov 15),0.375,0.55,-0.2,
11/14/2013 (Nov 8),2.64,0.9,0.7,
11/06/2013 (Nov 1),1.577,-0.08,1.7,
10/30/2013 (Oct 25),4.087,1.71,1.9,
10/23/2013 (Oct 18),5.246,0.76,2.7,
10/21/2013 (Oct 11),4,,,
10/09/2013 (Oct 4),6.807,2.4,0.9,
10/02/2013 (Sep 27),5.472,1.21,2.4,
09/25/2013 (Sep 20),2.635,1.71,-1,
09/18/2013 (Sep 13),-4.368,-2.28,-1.2,
09/11/2013 (Sep 6),-0.219,3.02,-2.2,
09/05/2013 (Aug 30),-1.836,0.1,-1.9,
08/28/2013 (Aug 23),2.986,,,
08/21/2013 (Aug 16),-1.428,,,
08/14/2013 (Aug 9),-2.812,-0.49,-1.4,
08/07/2013 (Aug 2),-1.32,-0.1,-1.2,
07/31/2013 (Jul 26),0.431,,,
07/24/2013 (Jul 19),-2.825,,,
07/17/2013 (Jul 12),-6.902,-1.06,-1.9,
07/10/2013 (Jul 5),-9.874,-1.58,-2.9,
07/03/2013 (Jun 28),-10.347,-2.23,-2.6,
06/26/2013 (Jun 21),0.018,0.56,-1.9,
06/19/2013 (Jun 14),0.313,-0.05,0.5,
06/12/2013 (Jun 7),2.523,1.31,-1.4,
06/05/2013 (May 31),-6.267,-1.83,-0.8,
05/30/2013 (May 24),3,1.35,-0.8,
05/22/2013 (May 17),-0.338,0.02,-0.4,
05/15/2013 (May 10),-0.624,-0.37,0.5,
05/08/2013 (May 3),0.23,-0.64,2.1,
05/01/2013 (Apr 26),6.696,3.87,0.8,
04/24/2013 (Apr 19),0.947,-0.51,1.8,
04/17/2013 (Apr 12),-1.233,-2.14,1.2,
04/10/2013 (Apr 5),0.25,-2.3,1.6,
04/03/2013 (Mar 29),2.707,0.73,1.8,
03/27/2013 (Mar 22),3.256,1.22,1.5,
03/20/2013 (Mar 15),-1.314,,,
03/13/2013 (Mar 8),2.624,0.21,2.3,
03/06/2013 (Mar 1),3.833,,,
02/27/2013 (Feb 22),1.13,-0.66,2.4,
02/21/2013 (Feb 15),4.143,0.99,1.9,
02/13/2013 (Feb 8),0.56,-0.75,2.4,
02/06/2013 (Feb 1),2.623,-0.01,2.7,
01/30/2013,5.947,0.82,2.9,
01/24/2013 (Jan 18),2.813,,,
01/16/2013 (Jan 11),-0.951,-0.5,2,
01/09/2013 (Dec 29),1.314,,,
01/04/2013 (Dec 22),-11.1,-5.15,-0.7,
12/28/2012 (Dec 21),-0.6,,,
12/19/2012 (Dec 14),-0.964,-0.03,-0.9,
12/12/2012 (Dec 7),0.843,4.06,-2.6,
12/05/2012 (Nov 30),-2.357,-1.55,-0.4,
11/28/2012 (Nov 23),-0.347,-0.33,0.5,
11/21/2012 (Nov 16),-1.466,-0.97,1,
11/15/2012 (Nov 9),1.089,-0.52,2.5,
11/07/2012 (Nov 2),1.766,-0.01,1.8,
11/01/2012 (Oct 26),-2.045,-2.99,1.6,
10/24/2012 (Oct 19),5.9,1.28,2,
10/17/2012 (Oct 12),2.86,0.78,1.4,
10/11/2012 (Oct 5),1.672,,,
10/03/2012 (Sep 28),-0.482,,,
09/26/2012 (Sep 21),-2.446,,,
09/19/2012 (Sep 14),8.534,2.61,1,
09/12/2012 (Sep 7),1.994,6.22,-1.8,
09/06/2012 (Aug 31),-7.426,,,
08/29/2012 (Aug 24),3.778,,,
08/22/2012 (Aug 17),-5.412,,,
08/15/2012 (Aug 10),-3.699,-1.12,-1.73,
08/08/2012 (Aug 3),-3.729,-1.97,-0.54,
08/01/2012 (Jul 27),-6.522,,,
07/25/2012 (Jul 20),2.717,,,
07/18/2012 (Jul 13),-0.809,0.13,-1.15,
07/11/2012 (Jul 6),-4.696,-1.78,-1.156,
07/05/2012 (Jun 29),-4.27,-1.81,-1.929,
06/27/2012 (Jun 22),-0.133,0.23,-0.45,
06/20/2012 (Jun 15),2.861,6.15,-1,
06/13/2012 (Jun 8),-0.191,1.69,-1.411,
06/06/2012 (Jun 1),-0.111,0.52,-0.488,
05/31/2012 (May 25),2.213,2.52,0.558,
05/23/2012 (May 18),0.883,-0.08,0.95,
05/16/2012 (May 11),2.128,0.52,1.736,
05/09/2012 (May 4),3.652,0.71,1.971,
05/02/2012 (Apr 27),2.84,0.15,2.489,
04/25/2012 (Apr 20),3.978,0.52,2.65,
04/18/2012 (Apr 13),3.856,0.81,1.363,
04/11/2012 (Apr 6),2.791,0,2.125,
04/04/2012 (Mar 30),9.009,0,2.214,
03/28/2012 (Mar 23),7.102,,,
03/21/2012 (Mar 16),-1.162,,,
03/14/2012 (Mar 9),1.75,,,
03/07/2012 (Mar 2),0.832,,,
02/29/2012 (Feb 24),4.16,,,
02/23/2012 (Feb 17),1.633,,,
02/15/2012 (Feb 10),-0.171,,,
02/08/2012 (Feb 3),0.304,,,
02/01/2012 (Jan 27),4.175,,,
01/25/2012 (Jan 20),3.558,,,
01/19/2012 (Jan 13),-3.438,,,
01/11/2012 (Jan 6),4.958,,,
01/05/2012 (Dec 30),2.209,,,
12/29/2011 (Dec 23),3.899,,,
12/21/2011 (Dec 16),-10.57,0,-2.8,
12/14/2011 (Dec 9),-1.932,,,
12/07/2011 (Dec 2),1.336,,,
11/30/2011 (Nov 25),3.932,,,
11/23/2011 (Nov 18),-6.219,,,
11/16/2011 (Nov 11),-1.06,,,
11/09/2011 (Nov 4),-1.37,,,
11/02/2011 (Oct 28),1.826,,,
10/26/2011 (Oct 21),4.735,,,
10/19/2011 (Oct 14),-4.729,,,
10/13/2011 (Oct 7),1.344,0,0.304,
10/05/2011 (Sep 30),-4.679,,,
09/28/2011 (Sep 23),1.915,,,
09/21/2011 (Sep 16),-7.3,,,
09/14/2011 (Sep 9),-6.7,,,
09/08/2011 (Sep 2),-4,,,
08/31/2011 (Aug 26),5.3,,,
08/24/2011 (Aug 19),-2.2,,0.7,
08/17/2011 (Aug 12),4.2,,-0.4,
08/10/2011 (Aug 5),-5.2,,,
08/03/2011 (Jul 23),1,,,
07/27/2011 (Jul 22),2.3,,,
07/20/2011 (Jul 15),-3.7,,,
07/13/2011 (Jul 8),-3.1,,,
07/07/2011 (Jul 1),-0.9,,,
06/29/2011 (Jun 24),-4.4,,,
06/22/2011 (Jun 17),-1.7,,-1.8,
06/15/2011 (Jun 10),-3.4,,,
06/08/2011 (Jun 3),-4.8,,,
06/02/2011 (May 27),2.9,,,
05/25/2011 (May 20),0.6,,,
05/18/2011 (May 13),0,,1.5,
05/11/2011 (May 6),3.8,,,
05/04/2011 (Apr 29),3.4,,,
04/27/2011 (Apr 22),6.2,,,
04/20/2011 (Apr 15),-2.3,,1.3,
04/13/2011 (Apr 8),1.627,,,
04/06/2011 (Apr 1),2,,,
03/30/2011 (Mar 25),2.945,,,
03/23/2011 (Mar 18),2.1,,,
03/16/2011 (Mar 11),1.745,,,
03/09/2011 (Mar 4),2.5,,,
03/02/2011 (Feb 25),-0.364,,,
02/24/2011 (Feb 20),0.8,,,
02/16/2011 (Feb 11),0.86,,,
02/09/2011 (Feb 4),1.9,,2.25,
02/02/2011 (Jan 28),2.6,,,
01/26/2011 (Jan 21),4.836,,,
01/20/2011 (Jan 14),2.6,,,
01/12/2011 (Jan 7),-2.154,,,
01/05/2011 (Dec 31),-4.2,,,
12/30/2010 (Dec 24),-1.3,,,
12/22/2010 (Dec 17),-5.3,,,
12/15/2010 (Dec 10),-9.9,,,
12/08/2010 (Dec 3),-3.8,,,
12/01/2010 (Nov 26),1.1,,,
11/24/2010 (Nov 19),1,,,
11/17/2010 (Nov 12),-7.3,,,
11/10/2010 (Nov 5),-3.3,,,
11/03/2010 (Oct 29),2,,,
10/27/2010 (Oct 22),5.007,,,
10/20/2010 (Oct 15),0.7,,,
10/14/2010 (Oct 8),-0.3,,,
10/06/2010 (Oct 1),3.1,,,
09/29/2010 (Sep 24),-0.3,,0.7,
09/22/2010 (Sep 17),0.6,,,
09/15/2010 (Sep 10),-2.5,,,
09/09/2010 (Sep 3),-1.9,,0.7,
09/01/2010 (Aug 27),3.4,,,
08/25/2010 (Aug 20),4.1,,,
08/18/2010 (Aug 13),-0.8,,-1,
08/11/2010 (Aug 6),-2.988,,-1.9,
08/04/2010 (Jul 30),-2.8,,,
07/28/2010 (Jul 23),7.3,,-1.4,
07/21/2010 (Jul 16),0.4,,,
07/14/2010 (Jul 9),-5.1,,,
07/08/2010 (Jul 2),-5,,,
06/30/2010 (Jun 25),-2,,,
06/23/2010 (Jun 18),2,,-1.2,
06/16/2010 (Jun 11),1.7,,-1.5,
06/09/2010 (Jun 4),-1.8,,-1.1,
06/03/2010 (May 28),-1.9,,-0.4,
05/26/2010 (May 21),2.4,,0.2,
05/19/2010 (May 14),0.2,,0.6,
05/12/2010 (May 7),1.9,,1,
05/05/2010 (Apr 30),2.8,,0.6,
04/28/2010 (Apr 23),1.9,,1,
04/21/2010 (Apr 16),1.9,,0.1,
04/14/2010 (Apr 9),-2.2 ,,1.4,
04/07/2010 (Apr 2),2,,1,
03/31/2010 (Mar 26),2.9,,2.4,
03/24/2010 (Mar 19),7.3,,1.3,
03/17/2010 (Mar 12),1,,0.6,
